School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
Key Account,110298,Platinum Jubilee High School,Dropped,2024,2024-10-22 00:00:00,Ei ASSET,Regular,IN-2022002536,Approved By Logistic Team,0,0,0,701,0,0,0,,0,0,,0,Full Payment,,2024-10-23 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Winter Round,OMR,0,MCQ,,,,State Board,Warangal,Telangana,South,AP/Telangana,National Sales,2024-09-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025644064,51788000002732015,zcrm_51788000274553290,2024-10-22 00:00:00,maruf.shaikh1,maruf.shaikh1,maruf.shaikh@ei.study,Maruf shaikh,Manjeetsingh Ladhad,,2024-10-22 12:55:58,Jagdish Peche,Principal,jagdish.peche@akesi.org,+919652313666,,Jagdish Peche,jagdish.peche@akesi.org,+919652313666,Prasanna,jagdish.peche@akesi.org,+916303627829,0,"16-8-19/1, Fort Road Abbani Kunta Warangal Telangana INDIA",,506002,"16-8-19/1, Fort Road Abbani Kunta Warangal Telangana INDIA",Warangal,Telangana,506002,,"16-8-19/1, Fort Road Abbani Kunta Warangal Telangana INDIA","16-8-19/1, Fort Road Abbani Kunta Warangal Telangana INDIA"
Retention School,1131322,The Global Edge School,,2024,2024-04-05 00:00:00,Ei ASSET,Regular,IN-2022001858,Approved By Logistic Team,380190,380190,380190,667,570,0,0,,0,0,,0,Full Payment,,2024-07-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,38019,2024-09-23 00:00:00,2024-09-23 00:00:00,380190,342171,0,0.62,0.62,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Hyderabad,Telangana,South,AP/Telangana,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021930452,51788000002749196,zcrm_51788000266680049,2024-04-05 00:00:00,chaitanya.kolluri_ei,hakim.kanchwala_eiindia1,chaitanya.kolluri@ei.study,Chaitanya kolluri,Jasper Jessie,,2024-04-24 10:20:43,"Ms, Swathi Reddy",School Owner,accountsincharge@globaledgeschool.com,+919640551155,,Ms. Anju Madan,principal@globaledgeschool.com,,Ms.Anitha Jha,anithajha@globaledgeschool.com,+919052424441,0,"Plot no. 8/A,Part of Survey no.s 74 and 75,Jai Hind Enclave,100 feet road,Madhapur",,500081,"Plot no. 8/A,Part of Survey no.s 74 and 75,Jai Hind Enclave,100 feet road,Madhapur",Hyderabad,Telangana,500081,HYDM04246E,"Plot no. 8/A,Part of Survey no.s 74 and 75,Jai Hind Enclave,100 feet road,Madhapur","Plot no. 8/A,Part of Survey no.s 74 and 75,Jai Hind Enclave,100 feet road,Madhapur"
New School,1134175,St. Mary Champion H.Sec. School,Dropped,2024,2024-02-20 00:00:00,Ei CARES,Regular,IN-2022001530,Approved By Logistic Team,468000,468000,0,0,,468000,300,1560,0,0,,0,Installments,3,,2024-03-15 00:00:00,140400,2024-09-02 00:00:00,163800,2024-12-31 00:00:00,163800,2000-01-01 00:00:00,0,45436,2024-03-04 00:00:00,2025-01-10 00:00:00,468000,408915,13649,0.4,0.4,,,,,0,,4,MCQ,Printing By EI,OMR,,CBSE,Indore,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-04-02 00:00:00,2025-03-29 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021136288,51788000002749223,zcrm_51788000254781412,2024-02-20 00:00:00,Laxminarayan Dogayan,fagun.saraiya_eiindia1,laxminarayan.dogayan@ei.study,Laxminarayan dogayan,Laxminarayan Dogayan,Shruti Chauhan,2024-02-23 10:37:00,Mr. Victor Swamy,Admin,victor.swamy@gmail.con,+917389623616,principal_smchss@yahoo.com,,,,,,,50000,"Suryadev Nagar, Gopur Square",,452009,"Suryadev Nagar, Gopur Square",Indore,Madhya Pradesh,452009,BPLS14197B,"Suryadev Nagar, Gopur Square","Suryadev Nagar, Gopur Square"
Retention School,1163014,Vidya Devi Jindal School,,2024,2024-04-04 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022001842, IN-2022001843, IN-2022001844",Approved By Logistic Team,1664554,1752664,1175052,854,1376,0,0,,489502,210,2331,0,Full Payment,,2024-04-06 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-05-03 00:00:00,2024-05-03 00:00:00,"577612, 587526","0, 490970, 885728","-298202, 587526, 86642","0.4462, 0.618","0.4462, 0.618",,,,,"0, Summer Round, Winter Round",OMR,0,MCQ,,,Online,CBSE,Hisar,Haryana,North,Delhi/Haryana,National Sales,2024-04-04 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021909640, 22028000021909708, 22028000021909804",51788000002749807,"zcrm_51788000267810265, zcrm_51788000267810442, zcrm_51788000267810619",2024-04-04 00:00:00,virender.verma_ei,fagun.saraiya_eiindia1,virender.verma@ei.study,Virender verma,Bhavishya Bansal,,"2024-04-05 15:50:53, 2024-04-05 15:51:33, 2024-04-05 15:52:04",Ms. Kamalica Bhowmick,Other,doac@vdjs.edu.in,+919831461183,info@vdjs.edu.in,,,,,,,0,"Hisar-Delhi Bypass Rd, Hisar Cantt, Hisar, Haryana 125044",,125044,"Hisar-Delhi Bypass Rd, Hisar Cantt, Hisar, Haryana 125044",Hisar,Haryana,125044,RTKV01058B,"Hisar-Delhi Bypass Rd, Hisar Cantt, Hisar, Haryana 125044","Hisar-Delhi Bypass Rd, Hisar Cantt, Hisar, Haryana 125044"
Retention School,1204891,"B.K Birla Public School, Kalyan",,2024,"2024-06-08 00:00:00, 2024-07-04 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022002186, IN-2022002308",Approved By Logistic Team,2202356,2359020,1332000,2220,600,0,0,,870356,395,2203,0,Installments,2,,"2024-06-10 00:00:00, 2024-07-04 00:00:00","256755, 333000","2024-07-31 00:00:00, 2024-10-31 00:00:00","770265, 999000",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"133200, 78716","2024-06-14 00:00:00, 2024-08-16 00:00:00","2024-11-07 00:00:00, 2025-02-21 00:00:00","1027020, 1332000","1198800, 754879","0, 193425","0.2778, 0.6","0.2778, 0.6",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Kalyan,Maharashtra,West,Mumbai,National Sales,"2024-06-01 00:00:00, 2024-06-08 00:00:00",2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022859928, 22028000023342260",51788000002750595,"zcrm_51788000270447061, zcrm_51788000271386001","2024-06-08 00:00:00, 2024-07-04 00:00:00",hetal.parmar_ei,fagun.saraiya_eiindia1,hetal.parmar@ei.study,Hetal parmar,Saloni Shah,,"2024-06-08 17:38:19, 2024-07-13 18:19:51",Ms. Ruchita .,,viceprincipal@birlaschoolkalyan.com,+919820776655,contact@birlaschoolkalyan.com,Ms.Ruchita,viceprincipal@birlaschoolkalyan.com,+919820776655,Ms.Ruchita,viceprincipal@birlaschoolkalyan.com,+919820776655,0,"B K Birla College Road, Near Rto, Kalyan West,",,421304,"B K Birla College Road, Near Rto, Kalyan West,",Kalyan,Maharashtra,421304,PNEK06448B,"B K Birla College Road, Near Rto, Kalyan West,","B K Birla College Road, Near Rto, Kalyan West,"
Retention School,12539,Mahadevi Birla World Academy (Junior Wing),,2024,2024-02-21 00:00:00,"Ei CARES, Ei Mindspark",Regular,"IN-2022001540, IN-2022001541",Approved By Logistic Team,3166135,3582955,0,0,,850468,630,1350,2315667,1035,2237,0,Installments,2,,2024-03-30 00:00:00,"1366244, 425234",2024-09-30 00:00:00,"1366244, 425234",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"24654, 40518","2024-04-02 00:00:00, 2024-10-23 00:00:00",2024-10-23 00:00:00,"2732488, 850468","1429960.21, 2193743.31","-1383793, 1277874","0.5926, 0.6143","0.5926, 0.6143",,,,,0,,"0, 4",MCQ,Printing By EI,OMR,Online,CBSE,Kolkata,West Bengal,East,West Bengal,National Sales,"2024-04-02 00:00:00, 2024-04-15 00:00:00","2025-03-27 00:00:00, 2025-03-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021161100, 22028000021161152",51788000002728599,"zcrm_51788000265501025, zcrm_51788000265501166",2024-02-21 00:00:00,lopamudra.das_eiindia1,mitul.patel_ei1,lopamudra.das@ei.study,Lopamudra das,Lopamudra Das,,"2024-03-19 10:01:07, 2024-03-19 15:05:15",Mr. Vikram Ruia,,administrator@mbwa.org.in,+919830295876,principal@mbwa.org.in,Ms Anjana Saha,principal@mbwa.org.in,,Basundhara Bhattacharya (CARES),coordinator.mid@mbwa.org.in,+919903595193,0,"17 A, Darga Road, Park Circus",,700017,"17 A, Darga Road, Park Circus",Kolkata,West Bengal,700017,CALM01347D,"17 A, Darga Road, Park Circus","17 A, Darga Road, Park Circus"
New School,1271232,"Rishikul Vidyapeeth, Rishikul Vidyapeeth School",,2024,"2024-02-25 00:00:00, 2025-05-06 00:00:00","Ei ASSET, Ei CARES",Group School - Centralize Invoicing,"IN-2022001549, IN-2022003466",Approved By Logistic Team,1648206,1648206,0,346,0,1648206,1030,1600,0,0,,0,"Full Payment, Installments",2,2024-12-30 00:00:00,"2000-01-01 00:00:00, 2024-04-15 00:00:00","0, 824103","2000-01-01 00:00:00, 2024-08-16 00:00:00","0, 824103",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-02-23 00:00:00,2024-11-20 00:00:00,"0, 1648206","0, 720090","0, 928116","0.5428000000000001, 1","0.4928, 1",,0.05,,,"0, Winter Round",OMR,"0, 4",MCQ,Printing By EI,OMR,,CBSE,Sonepat,Haryana,North,Delhi/Haryana,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021209392, 22028000029865060",51788000002751831,"zcrm_51788000255131686, zcrm_51788000288555651","2024-02-25 00:00:00, 2025-05-06 00:00:00",vikas.shukla_ei,"fagun.saraiya_eiindia1, maruf.shaikh1",vikas.shukla@ei.study,Vikas shukla,Sudhi Malhotra,,"2024-03-02 10:52:25, 2025-05-06 10:30:49",Dheeraj Sharma,School Owner,"Dheeraj.sharma@rishikulvidyapeeth.edu.in, dheeraj.sharma@rishikulvidyapeeth.edu.in",+919991114140,dheeraj.sharma@rishikulvidyapeeth.edu.in,Dheeraj Sharma,"dheeraj.sharma@rishikulvidyapeeth.edu.in, dheerajsharma@rishikulvidyapeeth.edu.in",+919991114140,"Dheeraj Sharma, Nisha","dheerajsharma@rishikulvidyapeeth.edu.in, nisha@rishikulvidyapeeth.edu.in","+919416524444, +919991114140",44000,"Devru Road, Devru Road, Jeeva vihar",,131001,"Devru Road, Jeeva vihar, Devru Road, Jeevan Vihar",Sonepat,Haryana,131001,,"Devru Road, Jeeva vihar","Devru Road, Jeevan Vihar"
Key Account,128171,"Navrachana School, Sama",,2024,2024-04-16 00:00:00,Ei CARES,Regular,IN-2022001918,Approved By Logistic Team,1797563,1797563,0,0,,1797563,1924,934,0,0,,0,Installments,2,,2024-04-20 00:00:00,898782,2024-11-01 00:00:00,898782,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,35868,2024-06-28 00:00:00,2024-11-26 00:00:00,1797564,1757508,4188,0.7137,0.6137,,0.05,,0.05,0,,4,MCQ,Printing By EI,OMR,,CBSE,Vadodara,Gujarat,West,Gujarat,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022100080,51788000002732079,zcrm_51788000267509650,2024-04-16 00:00:00,heena.kumar_ei,fagun.saraiya_eiindia1,heena.kumar@ei.study,Heena kumar,Heena Kumar,,2024-05-03 10:58:47,Ms. Suprabha Menon,Principal,suprabham@navrachana.edu.in,+919925260895,navrachanasama@navrachana.edu.in,Ms. Suprabha Menon,suprabham@navrachana.edu.in,+919925260895,Ms. Gayatri Devliyal,gayatrid@navrachana.edu.in,+917016014240,100300,Sama Road,,390024,"Sama Road, Near GIPCL Circle",Vadodara,Gujarat,390024,BRDN01995A,Sama Road,"Sama Road, Near GIPCL Circle"
Retention School,1312595,"KLE M. R. Sakhare State School, Hubballi",,2024,2024-06-16 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022002212, IN-2022002236",Approved By Logistic Team,440692,490128,166047,534,311,0,0,,274645,540,509,0,Installments,2,,2024-07-15 00:00:00,"162041, 83024","2024-11-15 00:00:00, 2024-12-15 00:00:00","162041, 83024",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"16794, 27458","2024-09-05 00:00:00, 2024-09-18 00:00:00",2025-01-17 00:00:00,"166048, 324082","151146, 296544","-1892, 80","0.7927, 0.8332999999999999","0.7927, 0.8332999999999999",,,,,"0, Winter Round",OMR,0,MCQ,,,Offline,State Board,Hubli,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000023002488, 22028000023033448",51788000002752617,"zcrm_51788000270598683, zcrm_51788000270690525",2024-06-16 00:00:00,vineet.upadhye_ei,mitul.patel_ei1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,"2024-06-18 10:43:12, 2024-06-18 10:43:30",Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,klemrsakharestate@gmail.com,,,,,,,0,"Vidyanagar, Hubballi, Unkal Cross",,580031,"Vidyanagar, Hubballi, Unkal Cross",Hubli,Karnataka,580031,BLRK04875D,"Vidyanagar, Hubballi, Unkal Cross","Vidyanagar, Hubballi, Unkal Cross"
Retention School,1315210,"KLE School, Manjunath Nagar, Hubballi",,2024,2024-06-16 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022002214, IN-2022002235",Approved By Logistic Team,610369,678481,231969,746,311,0,0,,378400,744,509,0,Installments,2,,2024-07-15 00:00:00,"115985, 223256","2024-11-15 00:00:00, 2024-12-15 00:00:00","115985, 223256",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"23325, 38136","2024-09-05 00:00:00, 2024-09-18 00:00:00",2025-01-17 00:00:00,"231970, 446512","209925, 411864","-1280, -3488","0.7927, 0.8332999999999999","0.7927, 0.8332999999999999",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Hubli,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000023002568, 22028000023033408",51788000002752639,"zcrm_51788000270598543, zcrm_51788000270633910",2024-06-16 00:00:00,vineet.upadhye_ei,mitul.patel_ei1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,"2024-06-18 10:42:47, 2024-06-18 10:44:49",Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,kleschool_man@yahoo.com,,,,,,,0,"Gokul Road, Manjunath Nagar,",,580030,"Gokul Road, Manjunath Nagar, HUBBALLI",Hubli,Karnataka,580030,BLRK04875D,"Gokul Road, Manjunath Nagar,","Gokul Road, Manjunath Nagar, HUBBALLI"
Retention School,1316481,"KLE School, Gadag",,2024,2024-06-16 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022002216, IN-2022002232",Approved By Logistic Team,684044,760212,260887,839,311,0,0,,423157,832,509,0,Installments,2,,2024-07-15 00:00:00,"130444, 249663","2024-11-15 00:00:00, 2024-12-15 00:00:00","130444, 249663",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"26061.8, 42610","2024-09-05 00:00:00, 2024-09-18 00:00:00",2025-01-17 00:00:00,"260888, 499326","234556.2, 460190","-3474, 270","0.7927, 0.8332999999999999","0.7927, 0.8332999999999999",,,,,"0, Winter Round",OMR,0,MCQ,,,Offline,CBSE,Gadag,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000023002648, 22028000023033288",51788000002752651,"zcrm_51788000270598125, zcrm_51788000270633787",2024-06-16 00:00:00,vineet.upadhye_ei,mitul.patel_ei1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,"2024-06-18 10:40:44, 2024-06-18 10:48:43",Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,klesgdg@gmail.com,,,,,,,0,"J T College Campus, Hatalgeri Naka Gadag",,582101,"J T College Campus, Hatalgeri Naka Gadag",Gadag,Karnataka,582101,BLRK04875D,"J T College Campus, Hatalgeri Naka Gadag","J T College Campus, Hatalgeri Naka Gadag"
New School,1324480,The Century School,,2024,"2024-06-07 00:00:00, 2024-11-20 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022002178, IN-2022002609",Approved By Logistic Team,1282258,1450060,350025,500,700,0,0,,932233,500,1864,0,Installments,"2, 4",,"2024-06-15 00:00:00, 2024-11-30 00:00:00","175013, 275009","2024-08-31 00:00:00, 2024-12-10 00:00:00","175013, 275009","2000-01-01 00:00:00, 2024-10-31 00:00:00","0, 275009","2000-01-01 00:00:00, 2024-12-31 00:00:00","0, 275009",0,"2024-07-19 00:00:00, 2024-11-30 00:00:00","2024-12-31 00:00:00, 2025-05-13 00:00:00","1100036, 350026","200000, 958832","141204, 150026","0.3889, 0.5333","0.3889, 0.5333",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Karnal,Haryana,North,Delhi/Haryana,National Sales,"2024-03-01 00:00:00, 2024-06-24 00:00:00",2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022873236, 22028000026329168",51788000002752831,"zcrm_51788000270363462, zcrm_51788000277767578","2024-06-07 00:00:00, 2024-11-20 00:00:00",vikas.shukla_ei,fagun.saraiya_eiindia1,vikas.shukla@ei.study,Vikas shukla,Vikas Shukla,Tanya Marina Brooks,"2024-06-12 11:51:42, 2024-12-02 10:19:54",Mr. Ankur Jindal,School Owner,director@thecenturyschool.com,+919416032976,thecenturyschool@rediffmail.com,Dr. Karuna Arora,drkarunaarora@gmail.com,+919416266294,Dr. Karuna Arora,drkarunaarora@gmail.com,+919416266294,8000,G T Road Karnal Side Gharaunda Distt Karnal Haryana,,132114,G T Road Karnal Side Gharaunda Distt Karnal Haryana,Karnal,Haryana,132114,,G T Road Karnal Side Gharaunda Distt Karnal Haryana,G T Road Karnal Side Gharaunda Distt Karnal Haryana
Retention School,1330320,"KLE Mahadevappanna Munavalli School, Gokak",,2024,2024-06-16 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022002215, IN-2022002233",Approved By Logistic Team,753983,840222,274880,884,311,0,0,,479103,942,509,0,Installments,2,,2024-07-15 00:00:00,"137440, 282671","2024-11-15 00:00:00, 2024-12-15 00:00:00","137440, 282671",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"27803.4, 45458","2024-09-05 00:00:00, 2024-09-18 00:00:00",2025-01-17 00:00:00,"274880, 565342","250230.6, 490942","-3154, 28942","0.7927, 0.8332999999999999","0.7927, 0.8332999999999999",,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,Gokak,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000023002608, 22028000023033328",51788000002752887,"zcrm_51788000270598265, zcrm_51788000270690263",2024-06-16 00:00:00,vineet.upadhye_ei,mitul.patel_ei1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,"2024-06-18 10:41:32, 2024-06-18 10:52:16",Maruf Shaikh,,maruf.shaikh@ei.study,+919016039311,klesgokak@gmail.com,,,,,,,0,"Opp. Umrani^S Hospital, K.L.E. Campus Main Road, Dist. Gokak",,591307,"Opp. Umrani^S Hospital, K.L.E. Campus Main Road, Dist. Gokak",Gokak,Karnataka,591307,BLRK04875D,"Opp. Umrani^S Hospital, K.L.E. Campus Main Road, Dist. Gokak","Opp. Umrani^S Hospital, K.L.E. Campus Main Road, Dist. Gokak"
Retention School,1337248,The Sivakasi Lions Matriculation Higher Secondary School,,2024,2024-06-03 00:00:00,Ei Mindspark,Regular,IN-2022002148,Approved By Logistic Team,480456,566938,0,0,,0,0,,480456,378,1271,0,Installments,4,,2024-06-05 00:00:00,141735,2024-09-10 00:00:00,141735,2024-12-10 00:00:00,141735,2024-12-31 00:00:00,141735,5306,2024-06-13 00:00:00,2025-03-21 00:00:00,566940,570409,-8775,0.5834,0.5834,,,,,0,,0,MCQ,,,Online,CBSE,Sivakasi,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-05 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022758828,51788000002753055,zcrm_51788000270232074,2024-06-03 00:00:00,vineeth.v_ei,hakim.kanchwala_eiindia1,vineeth.v@ei.study,Vineeth v,Vineeth T V,,2024-06-12 14:40:43,Mr. Lion Ramesh Kumar J,,correspondent@thesivakasilionsschool.in,+919486027172,principal@thesivakasilionsschool.in,,,,,,,0,"2/754-A Virudhunagar Road, Anaikuttam Post, Sivakasi",,626189,"2/754-A Virudhunagar Road, Anaikuttam Post, Sivakasi",Sivakasi,Tamil Nadu,626189,MRIT01544E,"2/754-A Virudhunagar Road, Anaikuttam Post, Sivakasi","2/754-A Virudhunagar Road, Anaikuttam Post, Sivakasi"
New School,14129,St. Hilda'S School,Dropped,2024,2023-11-23 00:00:00,Ei ASSET,Regular,IN-2022001289,Approved By Logistic Team,409200,409200,409200,341,1200,0,0,,0,0,,0,Installments,2,,2023-11-30 00:00:00,81840,2024-06-15 00:00:00,327360,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2023-12-05 00:00:00,2024-07-19 00:00:00,409200,404400,4800,0.2,0.2,,,,,Summer Round,OMR,0,MCQ,,,,CISCE,Ooty,Tamil Nadu,South,Tamil Nadu,National Sales,2024-07-01 00:00:00,2024-07-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020060192,51788000002728613,zcrm_51788000260939144,2023-11-23 00:00:00,praveenkumar.rajamanickam_ei,sourabh.mehta_eiindia,praveenkumar.rajamanickam@ei.study,Praveenkumar rajamanickam,Praveenkumar Rajamanickam,Dipti Jain,2023-11-28 11:14:19,Ms PAMELA RODRICKS .,Principal,sthildasprincipal@gmail.com,+919943241432,hildas_school@hotmail.com,Ms PAMELA RODRICKS .,sthildasprincipal@gmail.com,+919943241432,Mr Ajay,sthildasprincipal@gmail.com,+919943241432,100000,"Sheddon Rd, Pudumund, Ooty, Tamil Nadu 643001",,643001,"Sheddon Rd, Pudumund, Ooty, Tamil Nadu 643001",Ooty,Tamil Nadu,643001,,"Sheddon Rd, Pudumund, Ooty, Tamil Nadu 643001","Sheddon Rd, Pudumund, Ooty, Tamil Nadu 643001"
Retention School,1424516,"JSS Public School, HSR Layout",,2024,2024-07-11 00:00:00,Ei ASSET,Regular,IN-2022002337,Approved By Logistic Team,911281,911281,911281,1110,821,0,0,,0,0,,0,Installments,2,,2024-07-31 00:00:00,273384,2024-11-30 00:00:00,637897,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-08-30 00:00:00,2025-05-31 00:00:00,911281,911280,1,0.5423,0.5423,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-08-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023476100,51788000002754706,zcrm_51788000271722001,2024-07-11 00:00:00,dipti.jain_ei,mitul.patel_ei1,dipti.jain@ei.study,Dipti jain,Jasper Jessie,,2024-08-23 15:06:10,Mrs. Lily Sahay,Principal,jss_hsrps@yahoo.com,+919731777112,jss_hsrps@yahoo.com,,,,,,,0,"#4/A, 14Th Main, 6Th Sector, H.S.R. Layout, Adjacent To Bda Complex,",,560102,"#4/A, 14Th Main, 6Th Sector, H.S.R. Layout, Adjacent To Bda Complex,",Bengaluru,Karnataka,560102,,"#4/A, 14Th Main, 6Th Sector, H.S.R. Layout, Adjacent To Bda Complex,","#4/A, 14Th Main, 6Th Sector, H.S.R. Layout, Adjacent To Bda Complex,"
Retention School,1429114,Subbiah Central School,,2024,"2024-06-17 00:00:00, 2024-06-24 00:00:00","Ei ASSET, Ei CARES",Regular,"IN-2022002242, IN-2022002268, IN-2022002271",Approved By Logistic Team,1018600,1018600,269800,284,950,748800,346,"1300, 2600",0,0,,0,Installments,"3, 4",,"2024-06-01 00:00:00, 2024-06-19 00:00:00","149500, 37700, 91732","2024-09-01 00:00:00, 2024-09-19 00:00:00","149500, 37700, 89034","2024-11-01 00:00:00, 2024-12-01 00:00:00","149500, 37700, 89034","2000-01-01 00:00:00, 2024-12-31 00:00:00","0, 149500, 37700",0,2025-03-05 00:00:00,2025-10-13 00:00:00,"150800, 269800, 598000","0, 1033875","-764075, 150800, 598000","0, 0.5",0.5,,,,,"0, Winter Round",OMR,"0, 2, 4",MCQ,Printing By EI,OMR,,CBSE,Tirupur,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000023033760, 22028000023124952, 22028000023126540",51788000002754853,"zcrm_51788000270417181, zcrm_51788000271066068, zcrm_51788000271132113","2024-06-17 00:00:00, 2024-06-24 00:00:00",jasper.jessie_ei,"hakim.kanchwala_eiindia1, sourabh.mehta_eiindia",jasper.jessie@ei.study,Jasper jessie,Vineeth T V,,"2024-07-05 11:51:55, 2024-07-05 11:54:13, 2024-07-05 11:55:14",Jerald Arockia,,principalscs@subbiahschools.org,+914212245252,info@subbiahschools.org,,,,,,,0,"No-1, College Road,",,641602,"No-1, College Road,",Tirupur,Tamil Nadu,641602,,"No-1, College Road,","No-1, College Road,"
